Date,SP500,T10yAaa.lag,AaaBaa.lag,T10yT1y.lag
1986-10-21,-0.000381460209588,1.28,1.36,1.78
1986-10-22,0.001609650027726,1.33,1.39,1.74
1986-10-23,0.01270153778524,1.41,1.35,1.67
1986-10-24,-0.004271916756752,1.43,1.37,1.64
1986-10-27,0.002138268852654,1.37,1.4,1.68
1986-10-28,0.002050043606599,1.41,1.37,1.66
1986-10-29,0.006997142294539,1.38,1.39,1.66
1986-10-30,0.011431074430688,1.4,1.4,1.66
1986-10-31,0.001107215755588,1.44,1.42,1.62
1986-11-03,0.007431971011174,1.45,1.37,1.61
1986-11-04,0.001625992228159,1.41,1.4,1.58
1986-11-05,0.001542290986227,1.41,1.37,1.59
1986-11-06,-0.002883571921211,1.47,1.35,1.49
1986-11-07,-0.00040676511912,1.42,1.35,1.53
1986-11-10,0.00146371643703,1.39,1.34,1.55
1986-11-11,0.00385230697418,1.41,1.35,1.46
1986-11-12,-0.001782399398841,NA,1.36,NA
1986-11-13,-0.014786018583386,1.43,1.33,1.46
1986-11-14,0.00607154797491,1.43,1.35,1.46
1986-11-17,-0.00529001246549,1.44,1.38,1.43
1986-11-18,-0.026793860689276,1.45,1.4,1.38
1986-11-19,0.003709661932486,1.4,1.4,1.46
1986-11-20,0.01830323108719,1.47,1.39,1.46
1986-11-21,0.015617943526713,1.44,1.39,1.37
1986-11-24,0.006446256967683,1.45,1.39,1.42
1986-11-25,0.002905457865968,1.47,1.41,1.36
1986-11-26,0.002414803755593,1.39,1.45,1.38
1986-11-28,0.001807253631447,1.39,1.45,1.37
1986-12-01,-0.000682352962174,1.38,1.47,1.39
1986-12-02,0.01968057545347,1.37,1.45,1.36
1986-12-03,-0.000590701989128,1.46,1.46,1.28
1986-12-04,-0.003196013695626,1.46,1.46,1.31
1986-12-05,-0.007417558586008,1.5,1.46,1.28
1986-12-08,-3.97905757631989E-05,1.35,1.47,1.31
1986-12-09,-0.007513443501181,1.36,1.52,1.27
1986-12-10,0.006716833104483,1.4,1.5,1.25
1986-12-11,-0.011179604635113,1.43,1.47,1.23
1986-12-12,-0.003309625209358,1.36,1.47,1.29
1986-12-15,0.003470828318604,1.37,1.48,1.29
1986-12-16,0.007345686818644,1.37,1.46,1.27
1986-12-17,-0.00996790827578,1.39,1.46,1.24
1986-12-18,-0.003155721374116,1.39,1.47,1.19
1986-12-19,0.011883070806507,1.41,1.46,1.21
1986-12-22,-0.003931942186001,1.4,1.45,1.21
1986-12-23,-0.009735696763084,1.39,1.5,1.19
1986-12-24,0.001662999037973,1.39,1.52,1.14
1986-12-26,0.000688711112314,1.39,1.52,1.15
1986-12-29,-0.009154033768379,1.36,1.52,1.17
1986-12-30,-0.005327457148376,1.28,1.47,1.15
1986-12-31,-0.004942947895401,1.27,1.48,1.17
1987-01-02,0.017519170364783,1.3,1.46,1.28
1987-01-05,0.023023658626112,1.31,1.48,1.32
1987-01-06,0.002336761658327,1.36,1.46,1.23
1987-01-07,0.010037292727009,1.33,1.45,1.23
1987-01-08,0.007608148113806,1.35,1.42,1.27
1987-01-09,0.005620107317777,1.33,1.39,1.26
1987-01-12,0.006049676478303,1.35,1.38,1.25
1987-01-13,-0.001345414907418,1.29,1.38,1.29
1987-01-14,0.010294979313286,1.22,1.4,1.32
1987-01-15,0.010792807217294,1.21,1.4,1.33
1987-01-16,0.00297124545403,1.26,1.35,1.3
1987-01-19,0.011426124193721,1.31,1.33,1.31
1987-01-20,-0.00111440628649,NA,1.35,NA
1987-01-21,-0.004470328517467,1.32,1.31,1.36
1987-01-22,0.02240982751415,1.29,1.34,1.31
1987-01-23,-0.014007316868407,1.26,1.35,1.33
1987-01-26,-0.001815868310094,1.26,1.32,1.36
1987-01-27,0.01523886642824,1.16,1.34,1.38
1987-01-28,0.006009283377352,1.24,1.28,1.35
1987-01-29,-0.004220965563059,1.27,1.3,1.34
1987-01-30,-0.000583611800601,1.24,1.31,1.33
1987-02-02,0.008610029047027,1.18,1.32,1.25
1987-02-03,-0.001665419247925,1.15,1.3,1.3
1987-02-04,0.013138518340674,1.14,1.26,1.33
1987-02-05,0.005420801250302,1.16,1.28,1.3
1987-02-06,-0.003991434287217,1.19,1.24,1.33
1987-02-09,-0.006735980167444,1.17,1.25,1.26
1987-02-10,-0.011170865901832,1.1,1.26,1.26
1987-02-11,0.008939463192635,1.06,1.26,1.25
1987-02-12,-0.006942012064542,1.04,1.28,1.26
1987-02-13,0.014694555804944,1.11,1.26,1.28
1987-02-17,0.020489324074408,1.11,1.28,1.23
1987-02-18,-0.000245141966274,1.09,1.26,1.24
1987-02-19,0.000525382224544,1.12,1.26,1.28
1987-02-20,-0.00031519480924,1.17,1.26,1.33
1987-02-23,-0.010918313346446,1.13,1.3,1.35
1987-02-24,0.001769097836602,1.16,1.27,1.35
1987-02-25,0.003951441036588,1.19,1.27,1.3
1987-02-26,-0.003668725070598,1.14,1.27,1.3
1987-02-27,0.004372744796177,1.14,1.29,1.3
1987-03-02,-0.004231360243548,1.17,1.26,1.29
1987-03-03,0.003949768888173,1.17,1.29,1.25
1987-03-04,0.015714260152704,1.12,1.29,1.25
1987-03-05,0.006561456190711,1.22,1.24,1.24
1987-03-06,0.000481830084983,1.16,1.27,1.25
1987-03-09,-0.008152649938761,1.11,1.24,1.21
1987-03-10,0.008840437157313,1.13,1.25,1.19
1987-03-11,-0.001892689506587,1.13,1.26,1.14
1987-03-12,0.003129688044815,1.14,1.25,1.14
1987-03-13,-0.004577406293498,1.15,1.25,1.13
1987-03-16,-0.005742781732244,1.17,1.23,1.18
1987-03-17,0.014603290037598,1.13,1.23,1.18
1987-03-18,0.001059369599288,1.16,1.22,1.2
1987-03-19,0.004430324633931,1.14,1.22,1.22
1987-03-20,0.013812042285649,1.15,1.21,1.26
1987-03-23,0.009977861016586,1.14,1.22,1.24
1987-03-24,0.0015926047987,1.11,1.23,1.22
1987-03-25,-0.004185946639581,1.09,1.25,1.21
1987-03-26,0.001829299879263,1.1,1.26,1.19
1987-03-27,-0.016079092319897,1.1,1.28,1.18
1987-03-30,-0.023680032203998,1.04,1.27,1.19
1987-03-31,0.008607386233447,0.91,1.23,1.31
1987-04-01,0.002328425172672,0.96,1.23,1.36
1987-04-02,0.004266145200599,0.93,1.23,1.38
1987-04-03,0.022827733214019,0.95,1.2,1.41
1987-04-06,0.005113258896468,0.95,1.21,1.45
1987-04-07,-0.017573651103958,0.99,1.19,1.44
1987-04-08,0.001919380969702,0.91,1.21,1.47
1987-04-09,-0.014912582453235,0.91,1.22,1.44
1987-04-10,-0.001264184044002,0.81,1.2,1.45
1987-04-13,-0.023768205345085,0.65,1.22,1.42
1987-04-14,-0.022877130041358,0.65,1.2,1.38
1987-04-15,0.018737233569025,0.55,1.21,1.55
1987-04-16,0.008646249625159,0.78,1.24,1.53
1987-04-20,-0.002862159021952,0.82,1.27,1.62
1987-04-21,0.024105079568154,0.74,1.17,1.59
1987-04-22,-0.020267487627637,0.86,1.14,1.67
1987-04-23,-0.001289158883786,0.81,1.17,1.58
1987-04-24,-0.018651411766888,0.72,1.18,1.67
1987-04-27,0.001100552212643,0.71,1.15,1.63
1987-04-28,0.002409977434687,0.87,1.14,1.49
1987-04-29,0.007265310007767,0.98,1.11,1.53
1987-04-30,0.013230353923241,0.86,1.16,1.6
1987-05-01,-0.001145009612284,0.96,1.2,1.59
1987-05-04,0.004606897899519,0.76,1.2,1.61
1987-05-05,0.020455685696614,0.69,1.21,1.6
1987-05-06,0.000440090732244,0.75,1.21,1.55
1987-05-07,-0.002575520791681,0.66,1.24,1.69
1987-05-08,-0.004557197493509,0.73,1.25,1.63
1987-05-11,-0.006154455757524,0.78,1.27,1.59
1987-05-12,0.005915796878218,0.64,1.2,1.65
1987-05-13,0.002315840161688,0.68,1.23,1.63
1987-05-14,0.000883951638796,0.7,1.2,1.55
1987-05-15,-0.023416398893013,0.67,1.22,1.55
1987-05-18,-0.002717389554194,0.51,1.15,1.53
1987-05-19,-0.024830417744673,0.66,1.13,1.49
1987-05-20,-0.005055328821562,0.56,1.1,1.59
1987-05-21,0.007020416333428,0.59,1.13,1.69
1987-05-22,0.007077691914016,0.7,1.14,1.75
1987-05-26,0.024332886543788,0.76,1.15,1.68
1987-05-27,-0.00131515318219,0.88,1.18,1.59
1987-05-28,0.007006185543312,0.79,1.17,1.59
1987-05-29,-0.002272507199179,0.83,1.2,1.62
1987-06-01,-0.000931212466234,0.91,1.17,1.61
1987-06-02,-0.00473810238845,0.91,1.18,1.57
1987-06-03,0.017219025845417,0.69,1.2,1.74
1987-06-04,0.005504958200894,0.74,1.25,1.73
1987-06-05,-0.005573073104339,0.8,1.24,1.71
1987-06-08,0.011081628654347,0.86,1.27,1.6
1987-06-09,0.001885515710125,0.83,1.25,1.63
1987-06-10,0.000638930664864,0.83,1.22,1.73
1987-06-11,0.004226809294112,0.81,1.21,1.8
1987-06-12,0.009627738134772,0.85,1.21,1.74
1987-06-15,0.005026864130208,1.01,1.19,1.61
1987-06-16,0.005329819931916,1.04,1.2,1.55
1987-06-17,0.00016401069428,1.03,1.18,1.54
1987-06-18,0.002882897983565,1.04,1.2,1.51
1987-06-19,0.004178503104882,1.02,1.19,1.54
1987-06-22,0.008692581807114,0.99,1.16,1.58
1987-06-23,-0.003947717480204,1.01,1.19,1.54
1987-06-24,-0.005103321892317,1.02,1.17,1.48
1987-06-25,0.006820220915388,0.94,1.19,1.48
1987-06-26,-0.005842992065348,1,1.18,1.48
1987-06-29,0.002406237958736,0.88,1.2,1.57
1987-06-30,-0.012747334037386,0.96,1.18,1.61
1987-07-01,-0.003492928705375,0.95,1.17,1.61
1987-07-02,0.008840463672319,0.98,1.2,1.67
1987-07-06,-0.002325746618959,1.03,1.22,1.64
1987-07-07,0.008100321831747,1.01,1.23,1.62
1987-07-08,0.002891116034367,1.02,1.22,1.65
1987-07-09,-0.002500837608424,1,1.2,1.7
1987-07-10,0.002760254466756,0.95,1.19,1.73
1987-07-13,-0.002402566090764,1.01,1.19,1.81
1987-07-14,0.009865642632336,0.96,1.19,1.87
1987-07-15,-0.000837159918442,1.03,1.21,1.83
1987-07-16,0.007318041737452,0.95,1.22,1.86
1987-07-17,0.006025888169359,0.95,1.2,1.87
1987-07-20,-0.010223996991122,1.02,1.19,1.81
1987-07-21,-0.009162328141987,0.97,1.19,1.83
1987-07-22,-0.000259268749389,0.92,1.19,1.8
1987-07-23,-0.002141894117596,0.93,1.17,1.81
1987-07-24,0.004731943200275,0.94,1.16,1.82
1987-07-27,0.004452210986587,0.94,1.12,1.76
1987-07-28,0.005393422336765,0.94,1.17,1.76
1987-07-29,0.010573706273112,0.92,1.19,1.76
1987-07-30,0.007574579589656,0.96,1.17,1.7
1987-07-31,0.001916150820031,0.96,1.19,1.73
1987-08-03,-0.003426427699328,0.91,1.2,1.77
1987-08-04,-0.004228456795583,0.83,1.2,1.8
1987-08-05,0.006995682779883,0.82,1.23,1.8
1987-08-06,0.011365482677494,0.95,1.19,1.81
1987-08-07,0.002821326045264,0.92,1.2,1.82
1987-08-10,0.015361285161488,0.96,1.13,1.73
1987-08-11,0.016119342879493,0.91,1.12,1.76
1987-08-12,-0.002823927843033,0.91,1.13,1.79
1987-08-13,0.006776168196867,0.9,1.14,1.8
1987-08-14,-0.001974169149762,0.97,1.16,1.74
1987-08-17,0.000359212710014,1.05,1.12,1.67
1987-08-18,-0.014652894554333,1.08,1.07,1.63
1987-08-19,0.001759990171609,0.97,1.07,1.75
1987-08-20,0.015075463050851,0.95,1.07,1.73
1987-08-21,0.003160684909936,0.94,1.09,1.67
1987-08-24,-0.007680527492151,0.89,1.13,1.73
1987-08-25,0.010267220839796,0.89,1.12,1.71
1987-08-26,-0.006554025942647,0.93,1.13,1.65
1987-08-27,-0.009580377931217,0.89,1.12,1.64
1987-08-28,-0.013183253134716,0.79,1.14,1.68
1987-08-31,0.008403858644956,0.74,1.12,1.76
1987-09-01,-0.019596445149679,0.79,1.13,1.77
1987-09-02,-0.005332687761868,0.75,1.11,1.75
1987-09-03,-0.004580238378916,0.59,1.13,1.88
1987-09-04,-0.011022011014005,0.62,1.19,1.79
1987-09-08,-0.009964268493185,0.66,1.12,1.67
1987-09-09,0.001147494846665,0.55,1.13,1.72
1987-09-10,0.010173582426265,0.71,1.07,1.73
1987-09-11,0.015177665762674,0.75,0.98,1.75
1987-09-14,0.003410464358622,0.84,1.07,1.67
1987-09-15,-0.016666523516779,0.84,1.08,1.67
1987-09-16,-0.009105358873343,0.82,1.12,1.78
1987-09-17,0.000222321734971,0.82,1.1,1.86
1987-09-18,-0.000222321734971,0.85,1.12,1.83
1987-09-21,-0.013815301411464,0.92,1.15,1.76
1987-09-22,0.028444527282792,0.83,1.13,1.77
1987-09-23,0.0052755807469,0.87,1.19,1.7
1987-09-24,-0.004587238678934,0.82,1.2,1.74
1987-09-25,0.001375267443621,0.73,1.17,1.77
1987-09-28,0.009450480446476,0.76,1.15,1.76
1987-09-29,-0.004683008658323,0.74,1.13,1.76
1987-09-30,0.000435060307685,0.68,1.18,1.76
1987-10-01,0.016945381194829,0.78,1.13,1.71
1987-10-02,0.002258224965692,0.68,1.14,1.72
1987-10-05,3.04198737852701E-05,0.75,1.21,1.68
1987-10-06,-0.027376918072273,0.7,1.18,1.69
1987-10-07,-0.002132439309506,0.71,1.16,1.71
1987-10-08,-0.013845661075423,0.68,1.16,1.71
1987-10-09,-0.00988443326085,0.72,1.08,1.62
1987-10-12,-0.005415324262686,0.66,1.08,1.69
1987-10-13,0.016444966670802,NA,1.1,NA
1987-10-14,-0.029982005332228,0.7,1.12,1.73
1987-10-15,-0.023703763576333,0.57,1.08,1.78
1987-10-16,-0.052975556093456,0.67,0.97,1.76
1987-10-19,-0.228997286803923,0.62,0.97,1.85
1987-10-20,0.051953572276073,0.91,0.98,2.17
1987-10-21,0.08708879626398,1.34,1.13,2.25
1987-10-22,-0.039995085958216,1.4,1.1,2.27
1987-10-23,-0.000120849195222,1.52,1.16,1.95
1987-10-26,-0.086418250430773,1.44,1.09,2.05
1987-10-27,0.023956377187648,1.47,1.11,2.07
1987-10-28,0.000385864046664,1.33,1.09,2.11
1987-10-29,0.048079565917091,1.29,1.07,2.29
1987-10-30,0.02827636851121,1.33,1.13,2.23
1987-11-02,0.015605025869836,1.31,1.14,2.13
1987-11-03,-0.019464826527373,1.21,1.16,2
1987-11-04,-0.00744330919737,1.25,1.22,2.04
1987-11-05,0.021929962615568,1.24,1.21,2.02
1987-11-06,-0.016122641218003,1.26,1.23,1.96
1987-11-09,-0.029338811509288,1.24,1.17,1.86
1987-11-10,-0.017297227063758,1.22,1.17,1.86
1987-11-11,0.012060840880833,1.17,1.22,1.9
1987-11-12,0.026998948478433,NA,1.23,NA
1987-11-13,-0.011656295900576,1.16,1.23,1.84
1987-11-16,0.004549138688634,1.14,1.21,1.77
1987-11-17,-0.015190174033215,1.13,1.26,1.69
1987-11-18,0.010274594657105,1.11,1.25,1.8
1987-11-19,-0.022653357228379,1.12,1.25,1.83
1987-11-20,0.008090478682341,1.16,1.24,1.85
1987-11-23,0.004082584650688,1.17,1.26,1.91
